Longitude,Latitude,Station,Tavg,WetBulb,PrecipTotal,AvgSpeed,WnvPresent,Species_CULEX ERRATICUS,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,Year,Month,Day
-87.676709,41.688324,2.0,82.0,69.0,0.0,6.7,1,0,1,0,0,0,0,0,2007,09,05
-87.599862,41.673408,2.0,82.0,69.0,0.0,6.7,1,0,1,0,0,0,0,0,2007,09,05
-87.66634300000003,41.822536,2.0,82.0,69.0,0.0,6.7,1,0,1,0,0,0,0,0,2007,09,05
-87.536497,41.702724,2.0,82.0,69.0,0.0,6.7,1,0,1,0,0,0,0,0,2007,09,05
-87.64886,41.862292,2.0,82.0,69.0,0.0,6.7,1,0,0,1,0,0,0,0,2007,09,05
-87.648064,41.721474,2.0,82.0,69.0,0.0,6.7,1,0,1,0,0,0,0,0,2007,09,05
-87.72460799999998,41.662014,2.0,82.0,69.0,0.0,6.7,1,0,1,0,0,0,0,0,2007,09,05
-87.677512,41.731922,2.0,82.0,69.0,0.0,6.7,1,0,0,1,0,0,0,0,2007,09,05
-87.648064,41.721474,2.0,82.0,69.0,0.0,6.7,0,0,0,1,0,0,0,0,2007,09,05
-87.64997,41.723195,2.0,82.0,69.0,0.0,6.7,0,0,0,1,0,0,0,0,2007,09,05
-87.64997,41.723195,2.0,82.0,69.0,0.0,6.7,0,0,1,0,0,0,0,0,2007,09,05
-87.666901,41.868077,2.0,82.0,69.0,0.0,6.7,0,0,0,1,0,0,0,0,2007,09,05
-87.72460799999998,41.662014,2.0,82.0,69.0,0.0,6.7,0,0,0,1,0,0,0,0,2007,09,05
-87.707973,41.682587,2.0,82.0,69.0,0.0,6.7,0,0,0,1,0,0,0,0,2007,09,05
-87.707973,41.682587,2.0,82.0,69.0,0.0,6.7,0,0,1,0,0,0,0,0,2007,09,05
-87.61425799999998,41.725517,2.0,82.0,69.0,0.0,6.7,0,0,1,0,0,0,0,0,2007,09,05
-87.69629300000003,41.869107,2.0,82.0,69.0,0.0,6.7,0,0,0,1,0,0,0,0,2007,09,05
-87.666014,41.720848,2.0,82.0,69.0,0.0,6.7,0,0,1,0,0,0,0,0,2007,09,05
-87.69629300000003,41.869107,2.0,82.0,69.0,0.0,6.7,0,0,1,0,0,0,0,0,2007,09,05
-87.675088,41.719059,2.0,82.0,69.0,0.0,6.7,0,0,1,0,0,0,0,0,2007,09,05
-87.598865,41.692555,2.0,82.0,69.0,0.0,6.7,0,0,1,0,0,0,0,0,2007,09,05
-87.68826700000002,41.903002,2.0,82.0,69.0,0.0,6.7,0,0,1,0,0,0,0,0,2007,09,05
-87.77653199999997,41.781416,2.0,82.0,69.0,0.0,6.7,0,0,0,1,0,0,0,0,2007,09,05
-87.60088,41.773215,2.0,82.0,69.0,0.0,6.7,0,0,0,1,0,0,0,0,2007,09,05
-87.60088,41.773215,2.0,82.0,69.0,0.0,6.7,0,0,1,0,0,0,0,0,2007,09,05
